2020-02-10T12:24:19.313+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:24:19.313+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T12:24:19.313+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:24:19.314+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:24:19.454+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T12:24:23.181+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:24:23.184+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T12:24:23.932+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:24:23.933+1100 |[main]| INFO | Log | Initializing Home page
2020-02-10T12:45:11.599+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:45:11.746+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T12:45:15.581+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T12:45:33.290+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:45:33.357+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T12:45:33.419+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:45:33.419+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:45:33.420+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T12:45:33.420+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:45:33.420+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:45:33.501+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T12:45:39.297+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:45:39.302+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T12:45:39.969+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:45:39.970+1100 |[main]| INFO | Log | Initializing Home page
2020-02-10T12:47:21.599+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:47:21.728+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T12:47:24.714+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T12:47:38.611+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:47:38.690+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T12:47:38.736+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:47:38.737+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:47:38.737+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T12:47:38.738+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:47:38.738+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:47:38.834+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T12:47:42.826+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:47:42.828+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T12:47:43.546+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:47:43.547+1100 |[main]| INFO | Log | Initializing Home page
2020-02-10T12:48:45.850+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:48:45.970+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T12:48:49.227+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T12:49:01.309+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:49:01.349+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T12:49:01.385+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:49:01.386+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:49:01.387+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T12:49:01.387+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:49:01.387+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T12:49:01.475+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T12:49:05.310+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:49:05.313+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T12:49:06.026+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T12:49:06.027+1100 |[main]| INFO | Log | Initializing Home page
2020-02-10T12:49:11.903+1100 |[main]| INFO | Log | XXXXXXXXXXXXXXXXXXXXXXX             -E---N---D-             XXXXXXXXXXXXXXXXXXXXXX
2020-02-10T12:49:11.904+1100 |[main]| INFO | Log | X
2020-02-10T12:49:11.904+1100 |[main]| INFO | Log | X
2020-02-10T12:49:11.904+1100 |[main]| INFO | Log | X
2020-02-10T12:49:11.904+1100 |[main]| INFO | Log | X
2020-02-10T13:41:09.921+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:09.959+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:09.967+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:09.972+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:10.073+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:41:14.154+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:41:25.887+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:25.962+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:41:25.963+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:41:28.079+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:41:46.718+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:41:46.722+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:41:46.723+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:41:49.359+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:42:08.021+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:42:08.026+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:42:08.027+1100 |[main]| INFO | Log | lauching chrome driver
2020-02-10T13:42:10.669+1100 |[main]| INFO | Log | Launching adactin hotel web page in chrome browser
2020-02-10T13:42:35.838+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:42:35.843+1100 |[main]| INFO | Log | Initializing the dashboard page
2020-02-10T13:42:35.933+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:35.934+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:35.934+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Invalid_Password Testcase execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:42:35.935+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:35.935+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:36.099+1100 |[main]| INFO | Log | Popup is closed
2020-02-10T13:42:39.961+1100 |[main]| INFO | Log | invoking baseclass constructor
2020-02-10T13:42:39.964+1100 |[main]| INFO | Log | Initializing the Login Page
2020-02-10T13:42:39.965+1100 |[main]| INFO | Log | Object of Login Page is created
2020-02-10T13:42:39.978+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:39.978+1100 |[main]| INFO | Log | ****************************************************************************************
2020-02-10T13:42:39.978+1100 |[main]| INFO | Log | $$$$$$$$$$$$$$$$$$$$$                 Verify_Sign_On_With_Valid_Credentials Test case execution started       $$$$$$$$$$$$$$$$$$$$$$$$$
2020-02-10T13:42:39.979+1100 |[main]| INFO | Log | ****************************************************************************************
